event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-11 22:30:00.915410,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:30:01.124370,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:30:01.125889,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:30:01.126452,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:30:01.128451,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:30:19.115743,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:30:30.580077,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:30:37.744928,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:30:55.438305,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:31:09.456374,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:31:09.476517,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:31:09.477582,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:31:09.478212,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:31:09.479639,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:33:23.827551,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:33:23.878665,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:45:53.145016,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 22:51:29.585630,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:51:29.612579,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:51:43.061810,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 22:51:43.064177,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:00:10.140247,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:00:39.558885,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:00:39.561228,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:21:10.179292,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:21:27.783368,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:22:12.192897,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:22:12.243592,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:23:18.682439,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:23:18.703462,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:23:18.706562,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:23:18.707326,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:23:18.709195,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:25:32.327869,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:25:32.365149,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:25:32.366306,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:25:32.366810,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:25:32.368232,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:25:56.919355,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:26:09.104998,""root[root] @ localhost [::1]"",15,1,Prepare,..."
"2021-12-11 23:26:09.123192,""root[root] @ localhost [::1]"",15,1,Execute,..."
"2021-12-11 23:26:09.146298,""root[root] @ localhost [::1]"",15,1,Prepare,..."
"2021-12-11 23:26:09.146437,""root[root] @ localhost [::1]"",15,1,""Close stmt"","
"2021-12-11 23:26:09.146506,""root[root] @ localhost [::1]"",15,1,Execute,..."
"2021-12-11 23:26:09.146894,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:26:09.218847,""root[root] @ localhost [::1]"",15,1,""Close stmt"","
"2021-12-11 23:26:09.234407,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:26:09.235063,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:26:11.229154,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:26:19.588115,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:26:19.608252,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:26:19.609515,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:26:19.610041,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:26:19.611981,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:36.856858,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.213182,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.318962,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.325459,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.331511,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.333119,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.334898,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.336368,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.337932,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.339421,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.340817,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.342271,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:34:44.344822,""root[root] @ localhost [::1]"",15,1,Query,..."
